SITC;PRODUCT DESCRIPTION;YEAR;IMPORT (RM);;
1111;"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FRESH OR CHILLED, WITH BONES IN";2020;6491088;;
1112;"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FRESH OR CHILLED, BONELESS";2020;96734172;;
1121;"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FROZEN, WITH BONE IN";2020;101730396;;
1122;"MEAT AND MEAT PREPARATIONS; OF BOVINE ANIMALS, FROZEN, BONELESS";2020;1958491444;;
1211;"MEAT AND MEAT PREPARATIONS; OF SHEEP, FRESH OR CHILLED";2020;67890496;;
1212;"MEAT AND MEAT PREPARATIONS; OF SHEEP, FROZEN";2020;807926065;;
1213;"MEAT AND MEAT PREPARATIONS; OF GOATS, FRESH, CHILLED OR FROZEN";2020;2959503;;
1221;"MEAT AND MEAT PREPARATIONS; OF SWINE, FRESH OR CHILLED";2020;2981036;;
1222;"MEAT AND MEAT PREPARATIONS; OF SWINE, FROZEN";2020;196064233;;
1232;"MEAT AND EDIBLE OFFAL; OF POULTRY, NOT CUT IN PIECES, FROZEN";2020;3100714;;
1234;"MEAT AND EDIBLE OFFAL; OF POULTRY CUTS AND OTHER OFFAL, FRESH OR CHILLED";2020;290490;;
1235;"MEAT AND EDIBLE OFFAL; OF POULTRY CUTS AND OFFAL (OTHER THAN LIVER), FROZEN";2020;596817289;;
1251;"EDIBLE OFFAL; OF BOVINE ANIMALS, FRESH OR CHILLED";2020;920069;;
1252;"EDIBLE OFFAL; OF BOVINE ANIMALS, FROZEN";2020;48351028;;
1254;"EDIBLE OFFAL; OF SWINE, FROZEN";2020;498317;;
1255;"EDIBLE OFFAL; OF SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FRESH OR CHILLED";2020;150311;;
1256;"EDIBLE OFFAL; OF SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, FROZEN";2020;12674239;;
1293;"MEAT AND EDIBLE MEAT OFFAL; SNAILS (OTHER THAN SEA SNAILS), FRESH, CHILLED OR FROZEN";2020;2508624;;
1299;"MEAT AND EDIBLE MEAT OFFAL; N.E.S IN GROUP 012, FRESH, CHILLED OR FROZEN";2020;583099;;
1611;"MEAT AND EDIBLE MEAT OFFAL; HAMS, SHOULDERS AND CUTS THEREOF, WITH BONE IN";2020;882893;;
1612;"MEAT AND EDIBLE MEAT OFFAL; BELLIES (STREAKY) AND CUTS THEREOF";2020;43342;;
1619;"MEAT AND EDIBLE MEAT OFFAL; N.E.S IN GROUP 012";2020;1212780;;
1681;"MEAT AND EDIBLE MEAT OFFAL; OF BOVINE ANIMALS";2020;442269;;
1689;"MEAT AND EDIBLE MEAT OFFAL; N.E.S IN GROUP 016, INCLUDING EDIBLE FLOURS AND MEALS OF MEAT OR MEAT OFFAL";2020;186361;;
1710;"MEAT AND EDIBLE MEAT OFFAL; EXTRACTS AND JUICES, FISH OR CRUSTACEANS, MOLUSCS OR OTHER AQUATIC INVERTEBRATES";2020;6352117;;
1720;"MEAT AND EDIBLE MEAT OFFAL; SAUSAGES AND SIMILAR PRODUCTS OF MEAT, MEAT OFFALS OR BLOOD; FOOD PREPARATIONS BASED ON THESE PRODUCTS";2020;14789747;;
1740;"MEAT AND OFFAL (OTHER THAN LIVER; OF POULTRY OF SUBGROUP 001.4, PREPARED OR PRESERVED";2020;1290597;;
1750;"MEAT AND OFFAL (OTHER THAN LIVER); OF SWINE, PREPARED OR PRESERVED";2020;42723249;;
1760;"MEAT AND OFFAL (OTHER THAN LIVER); OF BOVINE ANIMALS, PREPARED OR PRESERVED";2020;3198441;;
